,tconst,liste_realisateurs,liste_acteurs,TitreOriginal,anneeSortie,duree,genres,noteMoyenne,nbVotes,titreVF,types,id,original_language,notePonderee
0,tt0090015,['nm0487351'],['nknow'],Shoah,1985,566,"['Documentary', 'History', 'War']",8.7,10883,Shoah,imdbDisplay,42044,fr,8.7
1,tt3327994,['nm0037867'],['nknow'],Human,2015,263,['Documentary'],8.6,8970,Human,imdbDisplay,359364,fr,8.6
2,tt1675434,"['nm0619923', 'nm0865918']","['nm0167388', 'nm1082477', 'nm0494504', 'nm1109153', 'nm1525639', 'nm0597042', 'nm2031248', 'nm3994610', 'nm5511912', 'nm5511483']",The Intouchables,2011,112,"['Comedy', 'Drama']",8.5,961930,Intouchables,imdbDisplay,77338,fr,8.5
3,tt0054407,['nm0065442'],"['nm0078514', 'nm0449191', 'nm0176039', 'nm0006573', 'nm0582854', 'nm0582854', 'nm0584879', 'nm0178962', 'nm0711192', 'nm0041828', 'nm0065449']",The Hole,1960,131,"['Crime', 'Drama', 'Thriller']",8.5,21378,Le trou,imdbDisplay,29259,fr,8.5
4,tt1014762,['nm0037867'],"['nm0037867', 'nm0000335', 'nm0000335', 'nm0303826']",Home,2009,118,"['Documentary', 'Family']",8.5,23204,Home,imdbDisplay,62320,fr,8.5
5,tt3674140,"['nm2081382', 'nm0000694']",['nm7543164'],The Salt of the Earth,2014,110,"['Biography', 'Documentary', 'History']",8.4,24159,Le sel de la terre,imdbDisplay,265297,fr,8.4
6,tt0211915,['nm0000466'],"['nm0851582', 'nm0440913', 'nm0749363', 'nm0186677', 'nm0581014', 'nm0213354', 'nm0597042', 'nm0561158', 'nm0620964', 'nm0684500']",Amélie,2001,122,"['Comedy', 'Romance']",8.3,810771,Le Fabuleux Destin d'Amélie Poulain,imdbDisplay,194,fr,8.3
7,tt1255953,['nm0898288'],"['nm0044073', 'nm0246386', 'nm0309945', 'nm1323233', 'nm1323233', 'nm4841645', 'nm0320721', 'nm0108436', 'nm1840093', 'nm4841157', 'nm4655454']",Incendies,2010,131,"['Drama', 'Mystery', 'War']",8.3,219013,Incendies,imdbDisplay,46738,fr,8.3
8,tt0065234,['nm0002020'],"['nm0598971', 'nm0660327', 'nm0004462', 'nm0673749', 'nm0674742', 'nm0219342', 'nm0245240', 'nm0350196', 'nm0294401', 'nm0102566']",Z,1969,127,"['Crime', 'Drama', 'Thriller']",8.1,32260,Z,imdbDisplay,2721,fr,8.1
9,tt0113247,['nm0440913'],"['nm0001993', 'nm0468003', 'nm0846548', 'nm0315760', 'nm0813217', 'nm0597384', 'nm0712205', 'nm0906682', 'nm0009318', 'nm0479360']",La haine,1995,98,"['Crime', 'Drama']",8.1,206587,La Haine,imdbDisplay,406,fr,8.1
10,tt0111495,['nm0001425'],"['nm0001393', 'nm0004462', 'nm0270073', 'nm0521051', 'nm0494078', 'nm0821637', 'nm0148081', 'nm0260151', 'nm0772159', 'nm0419182']",Three Colors: Red,1994,99,"['Drama', 'Mystery', 'Romance']",8.1,112551,Trois couleurs: Rouge,imdbDisplay,110,fr,8.1
11,tt0091288,['nm0001945'],"['nm0598971', 'nm0000367', 'nm0000809', 'nm0220015', 'nm0523597', 'nm0563432', 'nm0576272', 'nm0243260', 'nm0636669', 'nm0560991']",Jean de Florette,1986,120,"['Comedy', 'Drama']",8.1,28144,Jean de Florette,imdbDisplay,4480,fr,8.1
12,tt0064040,['nm0578483'],"['nm0893341', 'nm0582890', 'nm0144045', 'nm0797531', 'nm0542690', 'nm0186567', 'nm0053607', 'nm0716577', 'nm0223072', 'nm0215303']",Army of Shadows,1969,145,"['Drama', 'War']",8.1,27165,L'armée des ombres,imdbDisplay,15383,fr,8.1
13,tt8613070,['nm1780037'],"['nm4374524', 'nm1194748', 'nm4714676', 'nm0000420', 'nm1039369', 'nm5166668', 'nm1865236', 'nm10767888', 'nm6720191']",Portrait of a Lady on Fire,2019,122,"['Drama', 'Romance']",8.1,115817,Portrait de la jeune fille en feu,imdbDisplay,531428,fr,8.1
14,tt0091480,['nm0001945'],"['nm0598971', 'nm0000322', 'nm0000809', 'nm0320762', 'nm0523597', 'nm0304051', 'nm0390458', 'nm0098959', 'nm0220015', 'nm0045865']",Manon of the Spring,1986,113,['Drama'],8.0,24535,Manon des sources,imdbDisplay,4481,fr,8.0
15,tt3612616,['nm0230859'],"['nm0234237', 'nm4608165', 'nm0167501', 'nm0399088', 'nm2531440', 'nm0514813', 'nm0655082', 'nm0357561', 'nm4719471', 'nm4444243']",Mommy,2014,139,['Drama'],8.0,63367,Mommy,imdbDisplay,265177,fr,8.0
16,tt0062229,['nm0578483'],"['nm0001128', 'nm0673749', 'nm0217677', 'nm0742975', 'nm0503761', 'nm0092330', 'nm0269376', 'nm0692680', 'nm0431129', 'nm0289516']",Le Samouraï,1967,101,"['Crime', 'Drama', 'Thriller']",8.0,61259,Le Samouraï,imdbDisplay,5511,fr,8.0
17,tt0401383,['nm0773603'],"['nm0023832', 'nm0782561', 'nm0189887', 'nm0175931', 'nm0156228', 'nm0034390', 'nm0307638', 'nm0144045', 'nm0359652', 'nm0001884']",The Diving Bell and the Butterfly,2007,112,"['Biography', 'Drama']",8.0,111298,Le scaphandre et le papillon,\N,2013,fr,8.0
18,tt0070460,['nm0000076'],"['nm0000302', 'nm0529543', 'nm0000076', 'nm0181305', 'nm0186569', 'nm0829155', 'nm0001922', 'nm0150709', 'nm0037316', 'nm0000882']",Day for Night,1973,116,"['Comedy', 'Drama', 'Romance']",8.0,25334,La nuit américaine,imdbDisplay,1675,fr,8.0
19,tt0808417,"['nm1749112', 'nm2277869']","['nm0557859', 'nm0000366', 'nm0001687', 'nm0001687', 'nm0201638', 'nm0008787', 'nm1380747', 'nm0422045', 'nm0037871', 'nm0303145', 'nm1065166']",Persepolis,2007,96,"['Animation', 'Biography', 'Drama']",8.0,101942,Persepolis,imdbDisplay,2011,fr,8.0
20,tt1129435,['nm0889513'],['nknow'],The Beaches of Agnès,2008,112,"['Biography', 'Documentary']",8.0,4981,Les plages d'Agnès,imdbDisplay,38879,fr,8.0
21,tt0092593,['nm0001501'],"['nm0542009', 'nm0270830', 'nm0705072', 'nm0141133', 'nm0605429', 'nm0075710', 'nm0639054', 'nm0280132', 'nm0729620', 'nm0377565']",Au Revoir les Enfants,1987,104,"['Drama', 'War']",8.0,37045,Au revoir les enfants,\N,1786,fr,8.0
22,tt0060305,['nm0578483'],"['nm0893341', 'nm0582890', 'nm0670964', 'nm0264799', 'nm0102566', 'nm0291289', 'nm0544240', 'nm0639058', 'nm0176039', 'nm0956643']",Le deuxième souffle,1966,150,"['Crime', 'Drama']",7.9,7032,Le deuxième souffle,imdbDisplay,25047,fr,7.9
23,tt0065531,['nm0578483'],"['nm0001128', 'nm0100186', 'nm0002231', 'nm0598971', 'nm0186567', 'nm0024940', 'nm0171772', 'nm0252573', 'nm0692680', 'nm0673749']",Le cercle rouge,1970,140,"['Crime', 'Drama', 'Thriller']",7.9,29762,Le cercle rouge,imdbDisplay,11657,fr,7.9
24,tt0192718,['nm0703400'],"['nm0818686', 'nm0586370', 'nm0586370']",The Man Who Sleeps,1974,77,['Drama'],7.9,4944,Un homme qui dort,imdbDisplay,104086,fr,7.9
