,tconst,nconst,category
0,tt0111161,nm0001104,director
1,tt0137523,nm0000399,director
2,tt0109830,nm0000709,director
3,tt0110912,nm0000233,director
4,tt0133093,nm0905154,director
5,tt0133093,nm0905152,director
6,tt0068646,nm0000338,director
7,tt0120737,nm0001392,director
8,tt0167260,nm0001392,director
9,tt0114369,nm0000399,director
10,tt0167261,nm0001392,director
11,tt0172495,nm0000631,director
12,tt0102926,nm0001129,director
13,tt0120815,nm0000229,director
14,tt0108052,nm0000229,director
15,tt0076759,nm0000184,director
16,tt0120689,nm0001104,director
17,tt0080684,nm0449984,director
18,tt0071562,nm0000338,director
19,tt0209144,nm0634240,director
20,tt0088763,nm0000709,director
21,tt0120338,nm0000116,director
22,tt0099685,nm0000217,director
23,tt0110413,nm0000108,director
24,tt0120382,nm0001837,director
25,tt0169547,nm0005222,director
26,tt0120586,nm0443411,director
27,tt0103064,nm0000116,director
28,tt0110357,nm0021249,director
29,tt0110357,nm0591450,director
30,tt0114814,nm0001741,director
31,tt0086190,nm0549658,director
32,tt0081505,nm0000040,director
33,tt0105236,nm0000233,director
34,tt0112573,nm0000154,director
35,tt0119217,nm0001814,director
36,tt0114709,nm0005124,director
37,tt0073486,nm0001232,director
38,tt0107290,nm0000229,director
39,tt0167404,nm0796117,director
40,tt0082971,nm0000229,director
41,tt0198781,nm0230032,director
42,tt0078748,nm0000631,director
43,tt0095016,nm0001532,director
44,tt0075314,nm0000217,director
45,tt0088247,nm0000116,director
46,tt0086250,nm0000361,director
47,tt0208092,nm0005363,director
48,tt0180093,nm0004716,director
49,tt0145487,nm0000600,director
50,tt0066921,nm0000040,director
51,tt0241527,nm0001060,director
52,tt0245429,nm0594503,director
53,tt0118715,nm0001054,director
54,tt0120915,nm0000184,director
55,tt0246578,nm0446819,director
56,tt0121766,nm0000184,director
57,tt0083658,nm0000631,director
58,tt0060196,nm0001466,director
59,tt0097576,nm0000229,director
60,tt0093058,nm0000040,director
61,tt0211915,nm0000466,director
