,tconst,genres
0,tt0090015,Documentaire
0,tt0090015,Histoire
0,tt0090015,Guerre
1,tt3327994,Documentaire
2,tt1675434,Comédie
2,tt1675434,Drame
3,tt0054407,Crime
3,tt0054407,Drame
3,tt0054407,Thriller
4,tt1014762,Documentaire
4,tt1014762,Famille
5,tt3674140,Biographie
5,tt3674140,Documentaire
5,tt3674140,Histoire
6,tt0211915,Comédie
6,tt0211915,Romance
7,tt1255953,Drame
7,tt1255953,Mystère
7,tt1255953,Guerre
8,tt0113247,Crime
8,tt0113247,Drame
9,tt0111495,Drame
9,tt0111495,Mystère
9,tt0111495,Romance
10,tt0091288,Comédie
10,tt0091288,Drame
11,tt0064040,Drame
11,tt0064040,Guerre
12,tt8613070,Drame
12,tt8613070,Romance
13,tt0065234,Crime
13,tt0065234,Drame
13,tt0065234,Thriller
14,tt0808417,Animation
14,tt0808417,Biographie
14,tt0808417,Drame
15,tt3612616,Drame
16,tt0062229,Crime
16,tt0062229,Drame
16,tt0062229,Thriller
17,tt0401383,Biographie
17,tt0401383,Drame
18,tt0070460,Comédie
18,tt0070460,Drame
18,tt0070460,Romance
19,tt0091480,Drame
20,tt1129435,Biographie
20,tt1129435,Documentaire
21,tt0092593,Drame
21,tt0092593,Guerre
22,tt0192718,Drame
23,tt0117040,Documentaire
24,tt1602620,Drame
25,tt0060474,Aventure
25,tt0060474,Comédie
25,tt0060474,Guerre
26,tt0065531,Crime
26,tt0065531,Drame
26,tt0065531,Thriller
27,tt0060305,Crime
27,tt0060305,Drame
28,tt0301727,Documentaire
29,tt1816518,Aventure
29,tt1816518,Animation
29,tt1816518,Comédie
30,tt0071487,Comédie
31,tt0372824,Drame
31,tt0372824,Musique
32,tt0058450,Drame
32,tt0058450,Comédie musicale
32,tt0058450,Romance
33,tt0055910,Drame
34,tt0068361,Comédie
34,tt0068361,Drame
34,tt0068361,Fantastique
35,tt0318202,Documentaire
35,tt0318202,Famille
36,tt9660502,Drame
37,tt0065439,Drame
37,tt0065439,Thriller
38,tt5598102,Aventure
38,tt5598102,Documentaire
39,tt0075824,Comédie
39,tt0075824,Drame
39,tt0075824,Romance
40,tt0062136,Comédie
41,tt1235166,Crime
41,tt1235166,Drame
42,tt0055852,Comédie
42,tt0055852,Drame
42,tt0055852,Musique
43,tt2321405,Animation
43,tt2321405,Comédie
43,tt2321405,Drame
44,tt0108394,Drame
44,tt0108394,Musique
44,tt0108394,Mystère
45,tt0079322,Crime
45,tt0079322,Drame
45,tt0079322,Mystère
46,tt0388505,Drame
47,tt0401085,Comédie
47,tt0401085,Drame
48,tt1655442,Comédie
48,tt1655442,Drame
48,tt1655442,Romance
49,tt0056663,Drame
50,tt0057058,Drame
51,tt0064612,Comédie
51,tt0064612,Drame
51,tt0064612,Romance
52,tt0070359,Drame
52,tt0070359,Romance
53,tt0057591,Action
53,tt0057591,Comédie
53,tt0057591,Crime
54,tt0061996,Drame
55,tt0054821,Crime
55,tt0054821,Thriller
56,tt0070544,Animation
56,tt0070544,Science-Fiction
57,tt0072962,Documentaire
58,tt0055032,Drame
58,tt0055032,Romance
